account_value,date,daily_return
1000000.0,2022-01-03,
1000621.4457407494,2022-01-04,0.0006214457407494045
997549.9683816183,2022-01-05,-0.003069569788060389
995489.3602108192,2022-01-06,-0.0020656691254695714
996073.9470279196,2022-01-07,0.0005872356254783551
995234.7713882059,2022-01-10,-0.0008424832736741994
997796.4182648766,2022-01-11,0.0025739121565231393
1000787.4712221597,2022-01-12,0.002997658542896353
994858.8926943126,2022-01-13,-0.005923913616351584
989455.1482455287,2022-01-14,-0.005431669243212256
975914.9255418009,2022-01-18,-0.013684523980431962
968957.1413054194,2022-01-19,-0.007129498744492313
959497.630814464,2022-01-20,-0.009762568526210713
949653.8067936166,2022-01-21,-0.01025935208666584
955828.6456733088,2022-01-24,0.006502199891706528
953498.7956763338,2022-01-25,-0.0024375184898687285
951842.0352945208,2022-01-26,-0.0017375589663307656
951363.8207463259,2022-01-27,-0.0005024095705616904
964208.5593210749,2022-01-28,0.013501394834073643
963253.6936434053,2022-01-31,-0.0009903103103978683
964614.020594539,2022-02-01,0.0014122208511739842
966714.111505157,2022-02-02,0.002177130816866546
958847.8395134083,2022-02-03,-0.008137123373011534
959755.9574792095,2022-02-04,0.0009470928841661674
959099.5828500021,2022-02-07,-0.0006838974263118081
961106.840876396,2022-02-08,0.0020928567400992915
965020.7005123481,2022-02-09,0.004072241991726067
957345.3846566124,2022-02-10,-0.00795352457378451
949990.8576330339,2022-02-11,-0.007682208679803182
946672.6204497719,2022-02-14,-0.003492914859759444
954988.1719496043,2022-02-15,0.00878397803021036
953595.1810279734,2022-02-16,-0.0014586473032300873
938040.6885417636,2022-02-17,-0.016311421026102613
931114.9120021136,2022-02-18,-0.007383236808646831
918307.8503161548,2022-02-22,-0.013754544708580285
907489.3695890964,2022-02-23,-0.011780886685585634
909974.6470175594,2022-02-24,0.0027386297974909546
930066.0533679813,2022-02-25,0.022079083649496622
928060.0473254704,2022-02-28,-0.0021568425546193426
911481.992356232,2022-03-01,-0.017863127517463773
926960.0562865605,2022-03-02,0.016981206496813783
922868.5801335988,2022-03-03,-0.004413864572927029
919185.9516402746,2022-03-04,-0.003990414857108937
905571.7359140974,2022-03-07,-0.014811166012581922
899990.2702004476,2022-03-08,-0.0061634716414992186
914495.0190399138,2022-03-09,0.01611656183375798
907644.4469051405,2022-03-10,-0.007491098357173542
901581.9597458541,2022-03-11,-0.0066793634665623935
898290.0587358787,2022-03-14,-0.0036512498662943926
914891.3287161263,2022-03-15,0.018480968167019274
925985.490369088,2022-03-16,0.012126207020160873
935864.2312293785,2022-03-17,0.010668353838193312
941140.9321552665,2022-03-18,0.005638318839215062
939305.9262882355,2022-03-21,-0.0019497673561267304
946459.5304381301,2022-03-22,0.007615840536812968
937608.5190302284,2022-03-23,-0.009351706146172423
948869.0845867661,2022-03-24,0.012009879739770968
954612.2684922913,2022-03-25,0.006052662057196567
957197.0515403947,2022-03-28,0.0027076784296788947
966539.1874369058,2022-03-29,0.009759887874160267
965637.2985907259,2022-03-30,-0.0009331115157075187
952054.831651616,2022-03-31,-0.014065806031863581
955312.0475592432,2022-04-01,0.003421248229974916
